name,value
"latitude","40.77767000000000"
"longitude","-73.98647000000000"
"latitude","25.78727201298331"
"longitude","-80.22098057370815"
"latitude","33.51685256922872"
"longitude","-86.81075983787737"
"latitude","36.014913657688"
"longitude","-93.86818459601676"
"latitude","33.44367036888629"
"longitude","-112.16668059492662"
"latitude","37.58913939369967"
"longitude","-120.99389449636563"
"latitude","39.74717708598308"
"longitude","-104.99504350949996"
"latitude","41.03201385505129"
"longitude","-73.77229922295413"
"latitude","38.91262583819862"
"longitude","-77.03461093463319"
"latitude","39.66405379520142"
"longitude","-75.67324437523371"
"latitude","26.30749391906598"
"longitude","-80.12911347802883"
"latitude","25.89263672923811"
"longitude","-80.17184794287391"
"latitude","31.716552997202704"
"longitude","-83.25543770375722"
"latitude","42.47476452676201"
"longitude","-91.72968144654322"
"latitude","37.63189829901215"
"longitude","-97.77955422592918"
"latitude","42.32990431194323"
"longitude","-71.54457833970692"
"latitude","39.32804927075692"
"longitude","-76.7617418119881"
"latitude","39.174217612118916"
"longitude","-76.73494850802908"
"latitude","43.65817095940958"
"longitude","-70.25907150165227"
"latitude","44.7559977695735"
"longitude","-85.6826014545592"
"latitude","38.65769590740581"
"longitude","-90.40671740511101"
"latitude","32.293716713479874"
"longitude","-90.1859364353629"
"latitude","35.177669798841855"
"longitude","-80.9342719236375"
"latitude","40.71845712107127"
"longitude","-74.06488900780639"
"latitude","36.02950225048244"
"longitude","-115.08927904654374"
"latitude","40.7521089352848"
"longitude","-73.99341849671877"
"latitude","41.10348906763425"
"longitude","-80.65178273380928"
"latitude","41.80411081017816"
"longitude","-71.34604516248818"
"latitude","33.51472979775313"
"longitude","-81.95974051189607"
"latitude","36.592839884775024"
"longitude","-82.18424600042528"
"latitude","44.312409221287666"
"longitude","-96.76705383313487"
"latitude","29.384030546476225"
"longitude","-98.40217693623065"
"latitude","37.820426286318586"
"longitude","-112.43469548744292"
"latitude","36.83209218605868"
"longitude","-81.52097445740344"
"latitude","44.45651677239509"
"longitude","-73.13900723598061"
"latitude","46.52462256683605"
"longitude","-122.43894177450859"
"latitude","37.315788615022136"
"longitude","-81.25556499794027"
"latitude","42.85083908007029"
"longitude","-106.3237086866723"